mcule_id	smiles	insoluble
M1051542	CC1=CC=CC=C1C(=O)OCN1N=NC2=C(C=CC=C2)C1=O	0
M1036024	CC1=C(C#N)C2=NC3=C(C=CC=C3)N2C(NCCCO)=C1	0
M1114831	COC1=CC=C(C=C1)C1C2=C(NC3=C1C(=O)CCC3)N(N=C2C)C1=CC=CC=C1	0
M762033	BrC1=CC=C(C=C1)N1C=CC(C=C1)=C(C#N)C#N	0
M1051543	O=C(NC1=NC=C(CC2=CC=CC=C2)S1)C1CCCO1	0
M1051544	ClC1=CC=CC(CC2=CN=C(NC(=O)C3CC3)S2)=C1Cl	0
M1114832	CCCCCN(C(=O)NC(=O)C1=C(N2CCOCC2)C(CCC1)=CC1=CC=CC=C1)S(C)(=O)=O	0
M907516	O=C(NC1=NN=CS1)C1=CC2=C(CCCC2)S1	0
M762098	OC(CN1CCCC1)CN1C2=C(C=C(Cl)C=C2)C2=C1C=CC(Cl)=C2	0
M1114833	CC1(C)CC2=C(SC(NC(=O)C3=CC=C(Cl)C=C3Cl)=N2)C(=O)C1	0
M1114834	CCOC1=CC=C2C(=O)NC(OC2=C1)(C1=CC=CC=C1)C(F)(F)F	0
M1051545	BrC1=CC=C(C=C(C#N)C2=NN=C(N2C2=CC=CC=C2)N2CCOCC2)C=C1	0
M1114835	FC(F)(F)C(=O)NC1=NC(=CS1)C1=CC=C(Cl)C=C1	0
M762131	COCCC1=NN(C2=C(Cl)C=C(Cl)C=C2Cl)C(O)(C1)C(F)(F)F	0
M1051547	O=C(OCC1COC2=CC=CC=C2O1)C1=CC=C(C=C1)C(=O)C1=CC=CC=C1	0
M1051548	CCCSC1=NC(C2=CC=CS2)=C(C=C1C#N)C(=O)C(F)(F)F	0
M762157	COC(=O)CN1N=CC(N(C)CC2=CC=CC=C2)=C(Cl)C1=O	0
M1051550	CCC1=CC2=C(S1)N=C(SCC(=O)C1=CC=CS1)N(C2=O)C1=CC=CC=C1	0
M1051549	Cl.CN1CCC2C(C1)C1=CC(C)=CC=C1N2C(=O)C1=CC=C(N2CCCCC2)C(=C1)[N+]([O-])=O	0
M1114836	CN(C)C1=CC=C(C=CC=C2C(C)=NN(C2=O)C2=CC=CC=C2)C=C1	0
M1114837	CCOC1=CC(=CC(OCC)=C1OCC)C(=O)N1C2CCN(C)CC2C2=CC(C)=CC=C12	0
M1051551	O=S(=O)(N1CCOCC1)C1=CC=C(C=C1)N1C=NN=N1	0
M762184	FC1=CC=CC(F)=C1C(=O)OCC1COC2=CC=CC=C2O1	0
M1051552	Br.C(N1CCN(CC1)C(C1=CC=CC=C1)C1=CC=CC=C1)C1=CSC(=N1)C1=CC=CC=C1	0
